,future_mkt_val_chg,call_mkt_val_chg,put_mkt_val_chg
WR,1.3686227139482816,0.0,0.0
BU,0.22153740062191707,0.0,0.0
BR,0.21709925283824916,2.1462157775210455,-0.3808325093054852
NR,0.21305900235109632,0.0,0.0
SR,0.1608120522820804,0.41137161508013564,-0.0703122980218589
P,0.15812490757506548,0.41452210935997336,-0.2922089728595191
EB,0.15540375896376735,0.7552008160248112,-0.4924534559862771
RU,0.13919971059680636,0.6712016393569036,-0.3369634997866071
PF,0.12757613939426804,0.4385092507030268,-0.13828285442626098
PB,0.11551314392903067,0.9113050160073386,0.2554978318409642
EG,0.11143227553441992,0.45126578663629857,-0.24820982244957224
CS,0.10806795344374365,-0.1062234504758458,0.3316192465011163
FU,0.10025850354706423,0.0,0.0
C,0.09137004036566321,-0.2091451973433729,1.2695462128965107
V,0.09000565717373576,0.12760833839135977,0.5586796361700037
SF,0.0817137271877133,0.1251589089948213,0.12608172533268203
RR,0.08036527121348902,0.0,0.0
PG,0.07660956536957197,0.3889176663631284,-0.2477551931593711
JD,0.07080260669078453,0.08683181407046336,-0.13674407810557654
J,0.046331976907529215,0.0,0.0
NI,0.043262161471328886,0.029857587754973602,0.0850341345160266
M,0.04015096454836464,-0.15071390274871843,0.1722235701073922
BC,0.03266253021400245,0.0,0.0
B,0.029781195848792796,-0.24412342591765657,0.2625813192565212
I,0.02480518139485799,0.22442997113836394,-0.2576822720658337
AG,0.02471120028401641,0.34888439500364554,-0.15504512602733012
PX,0.024052107675986534,4.3898112216613665,4.062174994347727
SM,0.023246548809357837,-0.38483345042132266,0.13145984455660598
AU,0.02288475714582172,0.12553866580516737,-0.06804781374375479
CU,0.021056519980320987,0.128115890475601,-0.044159014561525045
RB,0.019517699201343497,0.1303674331512512,-0.21444218958961536
CY,0.017532481015005486,0.0,0.0
PR,0.01701575216402529,0.0,0.0
LH,0.013564730786246981,-0.45259787202491286,0.41874380945104983
CF,0.012995580218712499,0.1514867660458552,0.22649811562423028
AO,0.009614891656595681,0.2577547189916942,-0.2101688504908713
L,0.002088449996263897,-0.06873254660031602,-0.11889570668934102
LR,0.0,0.0,0.0
JR,0.0,0.0,0.0
ZC,0.0,0.0,0.0
RI,0.0,0.0,0.0
PM,0.0,0.0,0.0
HC,-0.0014974051397234067,0.0,0.0
JM,-0.006401178799341767,0.0,0.0
LC,-0.00941104107713664,-0.2153595625180066,-0.17698059848242398
SP,-0.01119180840087508,0.0,0.0
RM,-0.011633352127997987,-0.18891032814302056,0.20306117736043472
PP,-0.013260095768092617,0.031424309084932656,-0.048074476383553
Y,-0.018784001076503798,-0.11616073886203182,0.08824808422153607
A,-0.018959150775996414,-0.08234169965181293,0.06258214716697164
SA,-0.022213702233304322,-0.188222017609316,0.20277388951663222
TA,-0.02429474709027246,0.03356741984140865,0.06241857697017417
OI,-0.025768279649199477,-0.03230515844729298,0.04461167937140398
SS,-0.030315022730065033,0.0,0.0
PK,-0.046488340879507595,0.22508724381069523,-0.09609196152858379
CJ,-0.05933299767540501,0.32855432586942457,3.2740862450539874
AL,-0.06451416769603169,-0.17539559662847337,0.17491807545688465
UR,-0.0766543126463094,-0.5659442845167622,-0.23493257810895218
AP,-0.0884640702936822,0.9889042291167343,0.4151348063733924
FG,-0.09117603725495782,0.32245658609987626,-0.3734766203017361
LU,-0.09362002569889116,0.0,0.0
FB,-0.09755576163406876,0.0,0.0
EC,-0.10229048619120551,0.0,0.0
BB,-0.10625103872361641,0.0,0.0
SH,-0.10935488751457023,-0.5916991362835005,-0.18158270496400475
ZN,-0.12202520046820053,-0.21365951807728267,0.6947330967325742
MA,-0.12574497851854982,-0.35096834723687176,-0.0862708692050862
SI,-0.12687993684637144,-0.023031794602872857,-0.1583688461400159
SC,-0.1381723602647683,0.02229803774920125,-0.1635170486152483
SN,-0.1521402063700822,1.3238524845669102,-0.35342529423677393
RS,-0.23185272084588904,0.0,0.0
LG,-0.2704472766335605,-0.012093134165658936,0.040977747134258946
