symbol,informed_total,informed_chg,uninformed_total,uninformed_chg,net_total,net_chg
Y,82295.0,-3421.0,-46760.0,-787.0,129055.0,-2634.0
P,57214.0,-8096.0,-35095.0,2441.0,92309.0,-10537.0
AL,34948.0,1064.0,-18624.0,-1961.0,53572.0,3025.0
SR,63368.0,5420.0,13336.0,2095.0,50032.0,3325.0
AU,43905.0,2448.0,-2817.0,265.0,46722.0,2183.0
OI,28293.0,-80.0,-16018.0,-2109.0,44311.0,2029.0
AG,36647.0,-7963.0,-7456.0,2577.0,44103.0,-10540.0
HC,27688.0,9014.0,-4916.0,-16.0,32604.0,9030.0
ZN,23966.0,1132.0,3596.0,79.0,20370.0,1053.0
AO,6067.0,2554.0,-8706.0,-700.0,14773.0,3254.0
EB,11571.0,-2290.0,-2996.0,1098.0,14567.0,-3388.0
BU,3299.0,-1585.0,-9308.0,308.0,12607.0,-1893.0
PF,7876.0,8071.0,-4193.0,629.0,12069.0,7442.0
CU,4523.0,-2600.0,-4159.0,190.0,8682.0,-2790.0
L,2673.0,15375.0,-3519.0,-2204.0,6192.0,17579.0
PX,391.0,1948.0,-5103.0,-1062.0,5494.0,3010.0
SN,4024.0,170.0,-1259.0,-425.0,5283.0,595.0
PR,3831.0,1110.0,-1182.0,217.0,5013.0,893.0
PG,5676.0,-2775.0,1410.0,-148.0,4266.0,-2627.0
JM,2614.0,440.0,-940.0,2992.0,3554.0,-2552.0
SS,5744.0,4414.0,2844.0,-896.0,2900.0,5310.0
J,1348.0,368.0,-485.0,299.0,1833.0,69.0
LU,1109.0,1917.0,-665.0,-374.0,1774.0,2291.0
EG,-1314.0,4732.0,-2653.0,-1784.0,1339.0,6516.0
EC,-261.0,-45.0,-717.0,-549.0,456.0,504.0
RS,1.0,3.0,9.0,1.0,-8.0,2.0
CY,-362.0,-35.0,86.0,40.0,-448.0,-75.0
SH,-373.0,-250.0,769.0,-105.0,-1142.0,-145.0
PB,-1258.0,-452.0,-51.0,-47.0,-1207.0,-405.0
LH,-1421.0,371.0,1853.0,-801.0,-3274.0,1172.0
CJ,401.0,1024.0,5252.0,-97.0,-4851.0,1121.0
CF,7801.0,-1229.0,12887.0,1625.0,-5086.0,-2854.0
BR,-3860.0,334.0,1489.0,117.0,-5349.0,217.0
AP,-698.0,342.0,4978.0,1339.0,-5676.0,-997.0
CS,3123.0,-958.0,9635.0,501.0,-6512.0,-1459.0
NR,-13210.0,-1472.0,-5108.0,327.0,-8102.0,-1799.0
JD,-4186.0,-2583.0,3940.0,1225.0,-8126.0,-3808.0
NI,-8912.0,1682.0,1616.0,581.0,-10528.0,1101.0
SP,-8940.0,-269.0,6986.0,690.0,-15926.0,-959.0
I,12532.0,-3768.0,28473.0,5418.0,-15941.0,-9186.0
SF,-13177.0,3700.0,2948.0,-729.0,-16125.0,4429.0
A,-18337.0,-9127.0,-2006.0,955.0,-16331.0,-10082.0
UR,-12328.0,1922.0,4429.0,2428.0,-16757.0,-506.0
FU,-8304.0,8696.0,8636.0,-331.0,-16940.0,9027.0
M,49676.0,-50349.0,67554.0,27554.0,-17878.0,-77903.0
B,-15303.0,1505.0,3837.0,-571.0,-19140.0,2076.0
RU,-13347.0,-1115.0,7312.0,1918.0,-20659.0,-3033.0
PK,-18831.0,-1641.0,2944.0,3140.0,-21775.0,-4781.0
PP,-7472.0,10998.0,14960.0,488.0,-22432.0,10510.0
SI,-6753.0,-1441.0,16047.0,-1245.0,-22800.0,-196.0
LC,-8401.0,5667.0,16564.0,-1470.0,-24965.0,7137.0
RB,-31994.0,8186.0,10076.0,32994.0,-42070.0,-24808.0
SM,-37237.0,4627.0,8529.0,1783.0,-45766.0,2844.0
MA,-69237.0,8659.0,-1096.0,-81.0,-68141.0,8740.0
FG,-39899.0,8355.0,48711.0,-5081.0,-88610.0,13436.0
C,-74830.0,-6605.0,16923.0,6678.0,-91753.0,-13283.0
V,-82583.0,-15997.0,12721.0,-16781.0,-95304.0,784.0
TA,-123657.0,-3484.0,-17494.0,-1916.0,-106163.0,-1568.0
RM,-117433.0,-19601.0,30016.0,6239.0,-147449.0,-25840.0
SA,-115390.0,-42738.0,41983.0,3446.0,-157373.0,-46184.0
