symbol,contract,net_pos_corr,net_pos,net_chg,c_net_pos,c_net_chg,broker
A,A2501,0.8257692912672141,-3223.0,-340.0,-3223.0,-340.0,W瑞银期货
A,A2501,0.6509288303661883,-35737.0,-187.0,-6693.0,-232.0,W乾坤期货
A,A2501,0.6477759286569763,2754.0,-78.0,1357.0,-170.0,L东方财富
A,A2501,0.6121115263326271,-5996.0,-652.0,-6111.0,-2631.0,W中信期货
A,A2501,-0.7344262947293609,8026.0,156.0,6750.0,67.0,L中信建投
A,A2503,0.6289428247749416,-948.0,-191.0,-727.0,-170.0,W海证期货
A,A2503,0.6263737213259298,-4255.0,-54.0,-346.0,-61.0,L申银万国
A,A2503,-0.7941206909974966,5131.0,798.0,3799.0,2.0,W海通期货
A,A2503,-0.8170981323822928,8026.0,156.0,1276.0,89.0,L中信建投
A,A2505,0.7868056541391986,-35737.0,-187.0,-15772.0,-90.0,W乾坤期货
A,A2505,-0.6769820510515866,4477.0,82.0,1769.0,1.0,L徽商期货
A,A2505,-0.7383855149943914,-1152.0,-146.0,-1152.0,-146.0,W中金财富
A,A2505,-0.7926597894623992,651.0,-332.0,4859.0,613.0,W国泰君安
A,A2505,-0.843666582909828,-260.0,242.0,1463.0,26.0,L华安期货
AG,AG2412,0.6192314097446243,6186.0,743.0,1390.0,0.0,W华泰期货
AG,AG2412,0.6022253829158843,-104.0,-2.0,-104.0,-2.0,L徽商期货
AG,AG2502,0.7268833686295181,4456.0,-1689.0,4456.0,-1689.0,W乾坤期货
AG,AG2504,0.6315175429878832,10891.0,-79.0,4627.0,16.0,L平安期货
AL,AL2501,0.7712976387977026,14920.0,337.0,2926.0,169.0,W海通期货
AL,AL2501,0.7484427246027439,9611.0,-2809.0,1148.0,1642.0,W中信期货
AL,AL2501,-0.6662423777553942,-10317.0,-559.0,-1877.0,-259.0,L中泰期货
AL,AL2501,-0.6800350115677827,-1884.0,-4.0,-1844.0,-54.0,L平安期货
AL,AL2502,-0.621236091150909,-1131.0,-755.0,210.0,-851.0,L宏源期货
AL,AL2503,-0.6332082298793469,14920.0,337.0,928.0,8.0,W海通期货
AL,AL2503,-0.636861441577464,2116.0,-2.0,1060.0,-2.0,W海证期货
AL,AL2503,-0.6702051583342892,9611.0,-2809.0,8409.0,-1718.0,W中信期货
AO,AO2501,0.6682512546117427,329.0,-1635.0,-943.0,-1522.0,L南华期货
AO,AO2501,-0.6358198854788817,-5006.0,653.0,-2957.0,290.0,L徽商期货
AO,AO2501,-0.7563578596952346,-9212.0,1228.0,-5549.0,469.0,L东方财富
AO,AO2501,-0.7936968737338079,-2234.0,645.0,-2234.0,645.0,L平安期货
AO,AO2503,-0.6258661806506278,1138.0,774.0,1354.0,325.0,L宏源期货
AO,AO2505,0.6250917748185114,-1616.0,47.0,-1616.0,47.0,W海证期货
AP,AP2412,0.6775425645691775,-2466.0,1677.0,-17.0,9.0,W国泰君安
AP,AP2412,-0.8830463104578061,-2125.0,-75.0,-3.0,-1.0,L徽商期货
AP,AP2501,-0.6202235129793416,-2125.0,-75.0,-1279.0,130.0,L徽商期货
AP,AP2501,-0.7163310918779314,,,-585.0,2.0,L华安期货
AP,AP2505,0.7004250458316704,2282.0,57.0,1863.0,121.0,L中信建投
AP,AP2505,-0.8807471157867355,2220.0,-134.0,1086.0,7.0,L南华期货
AU,AU2502,0.6365850323200362,-1362.0,-156.0,2507.0,-55.0,L中信建投
B,B2501,0.9132714677602164,-481.0,483.0,-3254.0,373.0,W中信期货
B,B2501,0.8789272149280372,-2187.0,-182.0,-1594.0,-62.0,W海通期货
B,B2501,0.8010964704500126,-2989.0,6.0,-2989.0,6.0,W瑞银期货
B,B2501,0.800206318330293,-1865.0,145.0,-1286.0,174.0,W中金财富
B,B2501,0.793794040780596,-11938.0,843.0,-9513.0,441.0,W乾坤期货
B,B2501,0.7712345794520139,-984.0,20.0,-984.0,20.0,W兴证期货
B,B2501,0.7049615293740394,-24626.0,344.0,-15704.0,2555.0,W摩根大通
B,B2501,-0.6804464509035291,-817.0,200.0,3455.0,-97.0,W国泰君安
B,B2501,-0.7390062296988283,2779.0,412.0,2779.0,412.0,L国富期货
B,B2501,-0.9134393905646034,3382.0,-184.0,3234.0,-185.0,L中信建投
B,B2505,0.9176905055988256,-11938.0,843.0,-4250.0,0.0,W乾坤期货
B,B2505,0.7240737218441072,-24626.0,344.0,-7160.0,-1608.0,W摩根大通
B,B2505,0.6507387389284494,-245.0,195.0,707.0,202.0,L宏源期货
B,B2505,-0.6808329040901486,637.0,49.0,932.0,86.0,L徽商期货
BR,BR2502,0.7118120848502336,-79.0,33.0,-303.0,49.0,W华泰期货
BR,BR2502,0.6952700866122338,536.0,287.0,997.0,298.0,L中信建投
BR,BR2502,-0.6154092618403901,-7892.0,352.0,-4714.0,-23.0,W国泰君安
BR,BR2502,-0.6421947552991983,-1580.0,-23.0,-1385.0,-25.0,L南华期货
C,C2501,0.7317617158775332,-20606.0,1036.0,-9554.0,1873.0,W中金财富
C,C2501,0.7179489119123006,-7503.0,-1639.0,-10951.0,-1894.0,W兴证期货
C,C2501,-0.6884391015266126,13892.0,-1792.0,13892.0,-1792.0,L东方财富
C,C2501,-0.8899786034885069,104708.0,1805.0,21000.0,-1903.0,L申银万国
C,C2503,0.6703703198563031,1533.0,-4818.0,-7189.0,-116.0,L中泰期货
C,C2503,-0.6419112875452575,-6326.0,1201.0,10293.0,240.0,W摩根大通
C,C2503,-0.711479063797432,36724.0,-3835.0,4973.0,-758.0,L中信建投
C,C2503,-0.839121557467853,104708.0,1805.0,29363.0,-622.0,L申银万国
C,C2505,0.6740107920556639,-45877.0,3124.0,-11930.0,389.0,W华泰期货
C,C2505,0.6601194237228363,-22542.0,1322.0,-23987.0,-1738.0,W中信期货
C,C2505,-0.6738345308841936,36724.0,-3835.0,5071.0,-844.0,L中信建投
C,C2505,-0.7587520655969613,104708.0,1805.0,51340.0,4326.0,L申银万国
C,C2507,0.6810286798959003,15132.0,1149.0,-2422.0,-106.0,W海通期货
C,C2507,-0.6025327241588786,-7503.0,-1639.0,2481.0,384.0,W兴证期货
C,C2507,-0.6676643061620064,1533.0,-4818.0,2227.0,-4101.0,L中泰期货
C,C2509,-0.811462058352446,-576.0,-649.0,1725.0,16.0,L平安期货
C,C2509,-0.8970313913510113,782.0,-45.0,782.0,-45.0,L徽商期货
C,C2509,-0.9534504208237516,-8842.0,-769.0,987.0,22.0,L华安期货
CF,CF2503,0.76274800126313,,,36.0,-28.0,W海证期货
CF,CF2503,0.7513694923217362,,,119.0,-4.0,L平安期货
CF,CF2503,-0.8697628764597716,,,983.0,-86.0,L宏源期货
CF,CF2509,0.8723418217079641,12096.0,-9065.0,-8616.0,-857.0,W国泰君安
CF,CF2509,-0.6058413536308628,,,494.0,87.0,L南华期货
CF,CF2509,-0.8440844878560678,,,948.0,54.0,L中信建投
CF,CF2509,-0.9510581024354765,35327.0,3986.0,2137.0,4.0,W中信期货
CJ,CJ2505,0.7845415899624155,-2501.0,-148.0,-1582.0,-199.0,L申银万国
CJ,CJ2505,-0.726383354826007,3289.0,49.0,1939.0,193.0,L东方财富
CS,CS2501,0.757280598372853,-6617.0,750.0,-3466.0,586.0,W中金财富
CS,CS2501,0.7537290538278117,-2805.0,162.0,-2050.0,205.0,W海证期货
CS,CS2501,0.602483369052779,-1875.0,623.0,-1632.0,471.0,W兴证期货
CS,CS2501,-0.6507532168886017,3345.0,-529.0,2200.0,-534.0,L东方财富
CS,CS2501,-0.6573733724213306,-2552.0,363.0,3017.0,71.0,L中泰期货
CS,CS2503,-0.7743689774116174,-2805.0,162.0,2951.0,-321.0,W海证期货
CS,CS2503,-0.7758902037288962,119.0,1017.0,11644.0,1645.0,W国泰君安
CS,CS2503,-0.8553612102380677,3345.0,-529.0,1145.0,5.0,L东方财富
CS,CS2503,-0.8727423982924333,7131.0,252.0,1589.0,-15.0,L中信建投
CS,CS2505,0.7991501583605564,119.0,1017.0,-9125.0,-49.0,W国泰君安
CS,CS2505,-0.7873271619617896,4382.0,-229.0,1514.0,57.0,L徽商期货
CS,CS2507,0.7862655558381306,-1875.0,623.0,-814.0,1.0,W兴证期货
CS,CS2507,-0.9015061375899343,-252.0,56.0,1068.0,111.0,W海通期货
CU,CU2412,-0.7728115536822422,-1593.0,-287.0,345.0,-360.0,L华安期货
CU,CU2502,0.7260051678229607,3685.0,404.0,3685.0,404.0,W乾坤期货
CU,CU2502,-0.6280238368481046,-56.0,874.0,115.0,358.0,W海通期货
CU,CU2503,0.604020013581511,-56.0,874.0,696.0,60.0,W海通期货
EB,EB2503,-0.7941131440488771,3969.0,-99.0,-29.0,27.0,L中信建投
EG,EG2501,0.6577169199476551,8305.0,294.0,4867.0,-284.0,W海通期货
EG,EG2505,0.6342584030948409,8305.0,294.0,3438.0,578.0,W海通期货
FG,FG2501,0.7270704138049677,-48635.0,-1090.0,-33690.0,7792.0,W国泰君安
FG,FG2501,0.6068912319046429,-9372.0,-6326.0,-8968.0,-2108.0,W华泰期货
FG,FG2505,0.6967750921363826,-48635.0,-1090.0,-20533.0,-9181.0,W国泰君安
FG,FG2505,0.6310201080621637,4408.0,3439.0,3408.0,192.0,W中信期货
FG,FG2505,-0.7170714128118756,-31633.0,-2445.0,-1178.0,-3511.0,L申银万国
FG,FG2509,-0.6111476751552682,,,2199.0,-16.0,W海证期货
FG,FG2509,-0.6557137960466056,-48635.0,-1090.0,2267.0,269.0,W国泰君安
FG,FG2509,-0.744812755543765,4408.0,3439.0,2986.0,-1043.0,W中信期货
I,I2501,-0.6734732315473018,-2810.0,300.0,-2613.0,320.0,L国富期货
I,I2501,-0.8055764818814244,3759.0,-281.0,-853.0,-423.0,W海证期货
I,I2502,-0.649771279246994,2719.0,-1708.0,-757.0,150.0,L中信建投
I,I2503,-0.6569522204178612,-9269.0,-380.0,-1508.0,11.0,L平安期货
I,I2503,-0.7575856084548405,-1100.0,432.0,-984.0,51.0,L宏源期货
I,I2504,0.7339673705415749,500.0,-2618.0,2516.0,6.0,W海通期货
I,I2505,0.7446163133774384,3759.0,-281.0,4934.0,304.0,W海证期货
I,I2505,-0.6561382586448414,-9303.0,-2296.0,-10735.0,-2106.0,L申银万国
I,I2505,-0.7703976447305534,-9269.0,-380.0,-5073.0,-382.0,L平安期货
I,I2509,-0.8127487993986003,13911.0,2823.0,-2661.0,-270.0,W乾坤期货
I,I2509,-0.9005453403654968,2719.0,-1708.0,-618.0,-4.0,L中信建投
JD,JD2501,-0.7262406819128022,1497.0,136.0,1497.0,136.0,W海证期货
JD,JD2502,0.8067452760491783,6121.0,1658.0,3516.0,703.0,W国泰君安
JD,JD2502,0.7813242893356065,1761.0,-139.0,1098.0,87.0,W海通期货
JD,JD2502,-0.6591634967616451,-2183.0,-136.0,-1174.0,22.0,L华安期货
JD,JD2502,-0.6733302102469704,-5224.0,1915.0,-2031.0,890.0,L中泰期货
JD,JD2502,-0.8902123651804796,-1069.0,-32.0,-1069.0,-32.0,L国富期货
JD,JD2503,-0.6050697684623064,-5224.0,1915.0,-2271.0,-10.0,L中泰期货
JD,JD2506,-0.9104559861714622,1288.0,10.0,124.0,-4.0,L南华期货
L,L2501,0.8458949188400074,38482.0,-3074.0,6936.0,-6953.0,W中信期货
L,L2501,0.8407468724023595,13909.0,202.0,5287.0,-969.0,W中金财富
L,L2501,0.6796237305183089,49285.0,-488.0,5655.0,-4424.0,W乾坤期货
L,L2501,0.6252668674725504,5352.0,-10.0,5352.0,-10.0,W海通期货
L,L2501,-0.6371501143765917,-2265.0,724.0,433.0,1334.0,L南华期货
